"Plant.Code","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","percentAllocation","cooling","weighted.JAN_DB","weighted.FEB_DB","weighted.MAR_DB","weighted.APR_DB","weighted.MAY_DB","weighted.JUN_DB","weighted.JUL_DB","weighted.AUG_DB","weighted.SEP_DB","weighted.OCT_DB","weighted.NOV_DB","weighted.DEC_DB","weighted.JAN_WB","weighted.FEB_WB","weighted.MAR_WB","weighted.APR_WB","weighted.MAY_WB","weighted.JUN_WB","weighted.JUL_WB","weighted.AUG_WB","weighted.SEP_WB","weighted.OCT_WB","weighted.NOV_WB","weighted.DEC_WB","weighted.JAN_WS","weighted.FEB_WS","weighted.MAR_WS","weighted.APR_WS","weighted.MAY_WS","weighted.JUN_WS","weighted.JUL_WS","weighted.AUG_WS","weighted.SEP_WS","weighted.OCT_WS","weighted.NOV_WS","weighted.DEC_WS","Latitude","Longitude","State","County","JanWT_pred","FebWT_pred","MarWT_pred","AprWT_pred","MayWT_pred","JunWT_pred","JulWT_pred","AugWT_pred","SepWT_pred","OctWT_pred","NovWT_pred","DecWT_pred"
3,1533670,1401306,936808,571714,1175141,1438595,1499685,1495270,716249,849480,1361800,1299304,100,"tower",10,9,18,21,24,27,29,28,25,21,18,16,7,7,15,19,21,24,25,24,22,18,15,15,8,9,7,7,6,5,5,6,6,7,8,8,31.0069,-88.0103,"AL","Mobile",10.01529054,10.57033175,14.98862306,20.22173667,24.24486488,28.87537305,31.63216853,32.14113754,29.93566344,23.75238801,19.29007074,16.00294791
26,2494496,2240407,2214199,928888,2779928,2780582,2673666,2248078,2461010,2757437,2422285,1718343,100,"tower",6,5,14,19,22,26,28,26,24,19,15,14,3,2,11,16,18,22,24,22,20,15,12,12,5,7,5,5,4,4,4,4,4,4,5,5,33.244211,-86.458056,"AL","Shelby",8.309683258,8.989936557,13.36346266,18.31398481,21.67402958,27.18129911,29.34392677,29.19725499,27.00338557,21.53441667,15.90165183,14.71597152
51,2697560,2072057,1996864,93822,2154551,2552265,2681915,2422477,2595208,1822137,2452972,2224857,100,"tower",7,7,14,20,23,28,29,29,27,21,16,14,4,4,12,17,20,23,24,23,21,16,13,11,7,8,6,8,7,6,7,6,5,6,6,7,32.030556,-93.569167,"LA","DeSoto",9.532337595,10.98579997,15.31418524,21.33459763,24.32146134,27.80997636,29.8950496,29.24452885,27.26668076,23.13054854,18.55491805,14.24228342
56,725248,871166,768416,295803,732605,1306453,1446288,1364314,693303,738978,597555,730824,100,"tower",10,9,18,21,24,27,29,28,25,21,17,16,7,6,15,19,20,23,25,24,22,17,15,14,7,8,7,6,6,5,4,5,5,7,7,7,31.488019,-87.910747,"AL","Washington",8.945083768,10.00195389,12.69979875,19.13795051,23.75819879,27.22714927,29.4638221,31.08827979,28.86538569,23.62996843,18.77468014,15.50684941
59,312211,293206,297757,127825,276848,307135,326931,276419,276712,238609,211266,278219,100,"tower",-2,-4,7,11,15,22,24,22,22,14,5,0,-5,-6,2,7,12,18,20,18,17,9,3,-1,11,11,11,12,11,9,8,9,11,9,12,12,40.854765,-98.348222,"NE","HALL",0.904781883,1.403088862,7.931056881,13.47660193,16.96698608,23.25891018,26.25707075,24.28242055,21.99180763,14.19444924,8.2916353,2.743169934
60,753244,722143,238611,591944,859002,754378,939485,888124,766624,461658,337599,321347,100,"tower",-2,-4,7,12,15,22,24,23,22,14,4,1,-4,-6,2,8,12,18,20,19,17,9,3,-1,11,11,10,12,11,9,8,8,10,9,11,11,40.580872,-98.312437,"NE","Adams",1.182499708,1.68242721,7.992531042,13.63234252,16.91266584,23.20548548,26.04540046,24.10405284,21.93622286,14.40769085,8.512237102,3.167242802
87,318331,677869,737969,686977,721674,722377,732125,739060,690422,671299,465125,653927,100,"tower",1,5,9,10,13,21,22,23,20,13,4,-1,-1,0,3,3,7,12,15,14,12,8,0,-4,5,7,7,9,9,7,6,6,6,6,7,7,35.4159,-108.082,"NM","McKinley",5.19208275,7.663355761,10.4162157,13.05420321,14.59097725,18.01362537,22.20723817,20.75286589,19.38775141,15.853273,9.214302564,6.181092729
96,51732.4,47426.4,50373.8,0,0,0,0,0,0,0,0,0,20,"tower",-7,-4,-1,5,10,15,17,15,8,5,-4,-6,-8,-6,-4,2,7,11,13,11,7,4,-5,-7,4,5,5,6,5,6,5,6,4,3,5,4,61.1861,-151.0356,"AK","Kenai Peninsula",0.196745724,0.199101211,0.304730302,1.704451125,6.660108917,10.80608349,11.6006593,11.3611728,7.505737724,4.534551952,0.519943586,0.269118234
108,1026578,858924,1001036,713482,87484,913455,1071121,1027640,497033,7547,4156,945870,100,"tower",1,1,8,13,16,25,26,24,23,15,7,2,-2,-2,3,8,12,19,20,19,16,10,3,-1,11,12,11,14,13,11,10,10,12,12,12,12,37.9308,-100.9725,"KS","Finney",3.391167128,4.865024085,10.49499923,14.387074,17.21586478,23.12195778,24.71382811,21.98000713,20.20394547,15.04731746,8.162703118,4.488747552
113,2666381,1590499,3106185,2491677,2952114,3166321,3650131,3471515,3471858,2509662,1325727,1774298,100,"tower",3,8,10,12,15,23,24,24,21,15,5,1,0,2,4,4,8,13,16,16,13,9,1,-2,4,7,7,9,9,8,7,7,6,6,7,7,34.9394,-110.3033,"AZ","Navajo",7.247087562,9.798924197,11.88759086,14.51488349,16.04732425,18.32896863,21.29052366,20.69647765,19.96121288,16.8652047,11.43406391,7.766585454
