"Plant.ID","Elevation..feet.","Pond.Area..acres.","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
753,241,4901,0,0,0,0,0,0,1024,3108,0,0,0,0,8,8,17,21,24,27,29,28,24,20,17,16,6,5,13,17,19,23,24,24,21,16,14,13,11.38085508,11.32123397,14.83782396,19.78603641,22.4667798,26.70103378,27.8490641,27.95606827,25.83507255,20.98515003,18.04853685,15.84303721,5,6,5,5,4,4,4,4,5,5,5,5
883,580,1e+06,999678,1010159,937928,779988,655806,1439821,1918355,1580904,1023422,289988,124373,0,-6,-10,1,8,14,18,21,21,20,12,7,3,-6,-11,-1,5,12,16,18,18,17,9,5,2,4.091124937,1.740001375,4.652442257,9.93862235,12.35085979,15.79661048,20.14015575,17.69060675,16.3836805,14.65784998,8.65290671,5.729086844,8,9,8,9,8,7,6,6,7,9,10,10
972,575,1e+06,1353,1771,2346,1275,1616,1559,3719,0,1652,2772,1051,1604,-5,-9,2,10,16,20,23,22,21,13,7,4,-6,-10,0,6,12,16,18,18,17,9,5,3,3.379049703,1.848673119,4.781558029,11.10068387,15.07964519,18.85583819,21.99973852,21.59610359,20.12991352,14.78408044,8.955470496,6.115276479,9,10,9,9,9,7,7,7,7,9,10,10
995,620,1e+06,1305253,1080172,466168,548314,165157,1071421,1118049,759226,1100303,929678,487926,532388,-5,-9,2,10,17,21,22,22,20,13,8,5,-6,-9,-1,6,14,18,19,18,17,9,5,4,3.300808107,2.080970143,4.918531477,12.1505575,17.27204625,20.11902217,22.93257574,23.31381316,21.50685776,15.24187772,9.365736653,7.018490276,10,10,9,10,9,8,6,7,7,9,10,11
1417,190,31000,0,0,8844,0,9698,54831,64704,18059,27973,110656,17615,0,7,7,13,20,23,28,30,29,27,21,15,13,4,4,11,16,20,23,24,22,21,16,12,11,9.077004968,9.972383159,14.57371175,21.06043829,24.28019496,27.26764978,29.24694216,28.76741932,26.73291421,22.068462,17.34228805,13.33558225,6,8,6,8,7,7,7,5,5,6,6,7
1710,600,1e+06,4634413,4328547,4040549,2910748,4101856,4079522,4477280,4443446,4397366,3409667,4170240,3916299,-5,-9,0,8,15,19,21,21,19,11,8,4,-6,-10,-2,5,12,16,17,18,16,9,5,3,2.122342565,1.286719905,2.992430141,6.371281499,13.38745463,14.8532255,17.59877143,21.73697619,19.44467243,11.75456099,8.575660838,5.509564479,10,10,10,10,9,8,7,7,7,10,11,11
1723,580,1e+06,962683,996081,1102879,983984,1022592,936566,891265,970976,805142,634314,749093,961794,-5,-10,1,10,18,21,22,22,21,13,8,5,-7,-10,-1,6,14,17,18,18,17,9,5,4,0.765971528,0.487530696,2.579587524,11.63741555,19.87769108,23.13979946,25.02790334,24.45399444,22.97230682,15.08725197,8.861529641,6.239558261,10,9,9,9,8,8,6,7,6,10,9,10
1769,610,1e+06,930522,927843,1053169,914286,963436,970255,915545,891982,818912,1038347,1013777,978272,-10,-15,-3,5,12,15,19,19,17,8,4,0,-10,-15,-4,1,8,12,16,16,14,6,2,-1,0.436721664,0.060275194,0.578299123,3.109384537,6.966667246,8.317465211,15.58010599,17.17640094,16.59674507,11.69210618,5.71835977,4.449845971,10,10,10,9,8,6,8,8,8,9,9,9
1771,583,1e+06,59008,42,0,0,0,0,0,0,0,0,0,0,-10,-15,-2,6,13,16,20,19,18,9,4,0,-10,-15,-4,2,10,13,16,16,15,6,2,-1,0.525100601,0.149705099,0.768381046,4.862802186,13.01836451,16.59572145,20.60502794,19.80018605,18.40697934,10.02026266,5.570822379,2.714581341,9,9,8,8,7,6,7,7,6,8,8,8
1772,618,1e+06,121859,99159,92236,115374,94380,80417,107935,95373,72555,97357,117311,90791,-10,-15,-3,5,12,15,19,18,17,8,4,0,-10,-15,-4,1,8,12,16,16,14,6,2,-1,0.260127594,0.083686017,0.590117424,4.344359323,11.04354721,13.93392465,17.75582753,16.51114941,15.57073855,8.073403121,4.64579216,1.390494678,11,11,10,10,9,6,8,9,7,9,9,9
1843,586,1e+06,225773,201234,206696,92024,160895,145878,185368,196923,182447,184632,180550,195497,-10,-15,-3,5,12,15,19,19,17,8,4,0,-10,-15,-4,1,8,12,16,16,14,6,2,-1,0.440405475,0.067038807,0.630734675,3.382709989,8.581806369,10.27364025,15.83640399,17.31179343,16.64482547,10.85214613,5.473701815,3.564604142,10,10,10,9,8,6,8,8,8,9,9,9
2554,581,1e+06,226586,263466,285765,266233,301706,130901,247800,247763,217902,247735,280596,236196,-7,-12,-2,8,16,18,21,20,19,11,8,6,-7,-12,-3,5,13,16,18,17,16,8,6,4,0.696470671,1.474650117,2.060615184,5.927554926,13.68388131,15.04776385,21.14347722,22.47487683,21.81223918,14.99273008,11.07923033,7.466959734,12,10,10,10,9,8,7,8,7,11,11,11
2594,253,1e+06,82274,123084,48725,660,46914,0,32535,61457,57369,0,0,0,-8,-12,-3,8,17,18,21,21,19,10,7,5,-9,-12,-4,4,13,16,18,17,16,7,5,4,2.686117507,1.055822304,2.029984133,5.269435169,13.20846486,13.33909167,20.65059915,23.19492224,21.77263661,15.54554327,9.695839173,6.150843316,9,9,9,9,7,6,6,5,5,7,8,7
2835,606,1e+06,89924,216394,179369,79931,0,0,0,0,0,0,0,0,-6,-11,-1,9,17,19,21,20,20,11,8,6,-7,-12,-2,5,13,16,18,17,16,9,6,5,0.499316522,0.322220999,1.553219444,3.101626602,16.64581665,18.79817366,21.52017791,22.38086046,20.45961669,13.45820822,8.460774865,5.930877748,10,8,8,8,7,7,5,6,6,8,9,9
2836,596,1e+06,825471,1460017,1157495,1203320,645977,1146881,1399481,1584286,1717127,1468679,783978,266125,-5,-10,1,10,18,20,22,21,20,12,9,7,-6,-11,-1,7,14,17,18,18,17,9,6,5,0.680818001,0.479485214,2.246784936,9.242998001,16.4145103,20.56026626,23.46316739,24.09537062,22.50914051,16.65282938,10.38480939,6.911164322,12,11,10,10,9,9,7,7,8,11,11,11
2837,575,1e+06,1225878,1148522,875862,247417,0,0,0,0,0,0,0,0,-6,-11,0,9,17,20,21,21,20,12,9,6,-6,-11,-2,6,14,17,18,17,16,9,6,5,0.585220408,0.345308498,1.928033011,8.519358741,17.35027654,19.63120408,21.83550638,22.75292484,21.02969031,13.98213414,9.006895756,6.3974838,12,10,10,10,9,8,7,8,8,11,11,11
2838,579,1e+06,86388,50960,151592,113437,0,0,0,0,0,0,0,0,-5,-10,1,10,18,20,22,21,20,12,9,7,-6,-10,-1,7,14,18,18,18,17,9,6,5,0.606197078,0.356781132,2.077361733,7.780629593,17.64654508,20.09186849,21.92297556,22.93649778,21.20623106,14.10671106,9.262667723,6.702879333,13,11,10,11,9,9,8,9,9,12,12,12
2878,580,1e+06,671563,707310,764508,714585,716341,647255,733530,701518,761382,594201,777386,144193,-5,-10,1,10,18,21,22,22,21,13,8,6,-7,-10,-1,6,14,17,18,18,17,9,5,4,0.792268722,0.549272089,2.639346982,12.67011787,19.91872595,25.36211407,25.46527617,24.9082019,22.75085429,18.50367507,8.696941501,5.890474437,10,9,9,9,8,8,6,6,6,10,9,10
3000,919,226.3544536,1504,0,0,0,0,0,7829,784,539,0,0,0,3,3,11,17,19,27,28,27,25,18,11,7,0,0,8,13,16,22,23,21,20,13,8,5,4.870158611,5.880595663,11.74816854,17.34228076,19.58861554,25.42776213,27.69629532,26.24932519,23.87299727,17.92883097,12.20695555,8.012488499,8,10,8,10,10,9,9,8,9,7,10,9
3287,207,49996.8,348099,589470,0,0,496261,544106,691240,620281,234959,653294,777421,259702,7,6,15,19,23,28,29,28,24,18,15,16,4,3,11,15,18,22,23,22,21,15,13,13,8.523456513,7.869518424,13.25115067,18.57363053,23.27308647,28.22975715,28.7838037,28.74713616,25.75417358,19.14650932,15.0626077,13.26900369,5,6,6,6,5,5,5,4,4,4,4,4
3982,605,1e+06,165562,156373,108902,100649,201144,171586,161984,185296,128446,197048,140083,152847,-10,-14,-1,6,11,16,20,19,17,8,3,-1,-10,-14,-3,2,8,14,17,16,15,6,2,-2,0.356151165,0.236844873,1.394949372,6.680169673,13.14796476,16.87893671,21.30689043,19.80527275,17.84476618,9.371120816,4.849880493,1.453120955,9,9,9,9,7,5,6,7,6,7,8,9
4040,591,1e+06,755221,915428,687316,675998,696150,855714,895038,752350,632209,652300,810999,791847,-7,-11,1,7,14,18,21,20,19,11,6,2,-7,-12,-2,4,11,15,17,17,16,8,4,1,2.405131795,0.965992245,4.42312382,8.524907969,9.971938598,13.14755099,16.60557777,15.03369842,14.13695349,13.43582405,7.649199202,4.925909562,10,11,10,10,10,8,7,7,7,10,11,11
4041,597,1e+06,3203382,2481169,2204685,1346636,2393160,2627269,3012363,3167223,3310967,2123487,1687448,2065388,-6,-10,1,8,14,18,21,21,20,12,7,3,-7,-11,-1,5,11,15,17,17,16,9,5,2,1.833259956,1.117184948,3.992965067,6.517382999,10.68012287,12.45849404,14.67639663,12.19147924,11.477455,14.43641193,8.869384482,5.923396195,10,10,10,10,10,8,7,8,8,11,11,11
4046,603,1e+06,5877916.636,5308891.284,5856875.98,5703545.22,5892612.796,5683395.296,5874867.22,5844263.64,5592698.428,3130807.556,5452043.204,5735374.576,-7,-12,1,7,14,18,21,20,19,11,6,2,-8,-12,-2,4,11,15,17,17,16,8,4,1,1.565779749,0.793511885,3.989537128,7.541733572,9.96456023,13.0423192,14.84124451,14.56602953,13.55484141,12.18510753,6.95854507,4.769638236,10,10,9,10,10,7,7,7,7,9,10,10
4050,588,1e+06,1842795,1896686,1886623,1130705,1444292,2151375,2244766,2184511,2008400,1573271,1266238,1181318,-7,-12,0,7,14,18,20,20,18,11,5,2,-8,-12,-2,4,11,15,17,17,16,8,4,1,2.792034658,1.186518352,4.518464049,8.50187205,8.874928095,12.51772736,14.54671638,12.74951032,12.00287588,12.31366048,6.96356889,5.222196856,10,10,9,10,10,7,7,7,7,10,10,10
4072,589,1e+06,224498,385533,273261,93012,72497,217798,415768,261622,278121,236171,51092,22647,-7,-12,1,7,14,18,21,20,19,11,6,2,-8,-12,-2,4,11,15,17,17,16,8,4,1,0.636253511,0.477505673,3.206144195,9.060570631,17.24742555,21.57561843,23.67545016,23.31417639,22.44240598,14.26952916,7.114336647,3.579627732,9,10,9,10,10,7,7,7,7,9,10,10
4125,607,1e+06,88312,95618,101262,103992,92783,84475,88738,93162,70668,62871,117982,136439,-7,-12,1,7,14,18,20,20,19,11,6,2,-8,-12,-2,4,11,15,17,17,16,8,4,1,1.520928445,0.817899091,3.532589392,7.273715454,9.20851859,12.53396321,15.06625639,12.86438044,12.44634577,12.17833386,6.686306371,3.367488252,10,10,9,10,10,7,7,7,7,9,10,10
6000,622,1e+06,22599854.672,20445564.744,19752176.056,11538680.216,22116053.04,10904089.024,11736907.592,21298837.856,21000000.784,22434608.88,21498234.328,22643286.632,-6,-9,1,9,16,19,21,21,19,12,8,5,-6,-10,-1,6,13,17,18,18,16,9,5,4,2.829879806,2.386650557,4.054161642,11.39682365,17.08593277,19.94006551,22.04342565,22.4202251,20.56038964,14.420034,9.013256546,6.136378537,10,9,9,9,8,7,6,6,6,9,10,11
6082,291,1e+06,738191,1741079,566544,0,361,0,215705,160185,92108,0,0,0,-7,-12,-2,8,17,18,21,20,19,10,8,6,-8,-12,-3,5,13,16,17,17,16,8,5,4,1.008831346,1.111499513,1.871372735,4.552465642,10.9868448,11.76864541,20.14070455,20.74661923,18.75401387,13.88637349,10.55062079,7.229245162,12,12,11,11,10,9,7,8,8,10,10,10
6110,271,1e+06,4120779.084,3752329.7,4143133.36,4000229.832,4143129.948,4002147.376,4026606.652,3992801.116,3873740.368,4101542.464,4000083.116,4140090.768,-8,-12,-3,8,17,18,21,21,19,10,7,5,-9,-12,-4,4,13,16,18,17,16,7,5,4,4.009563245,1.456193608,2.24786049,5.843270573,11.03092842,13.21341844,19.86903564,23.58632097,21.60557582,13.29827726,11.06783024,8.764847982,9,9,9,9,7,6,6,5,5,7,8,7
6122,272,1e+06,2875342.948,2597251.532,2869860.776,2788403.84,2865589.864,2768653.12,2813355.352,2844027.172,2781811.34,1630949.884,2190795.684,2907633.556,-7,-11,-2,8,18,19,21,21,20,10,8,5,-8,-12,-3,5,13,16,18,17,16,8,5,4,1.028388582,0.621460663,1.618295622,5.777703369,10.67374617,11.25073747,18.40934163,21.81533918,12.10765466,13.32786359,10.54062664,8.269827678,10,9,9,10,8,7,6,6,6,8,9,8
10075,633,1e+06,778916,783356,699927,627746,626837,438863,455466,488689,512982,466379,435108,466354,-10,-15,-2,4,9,13,18,17,15,8,3,-2,-10,-15,-4,1,6,11,15,14,13,6,2,-2,1.068140036,0.398818807,1.27966623,3.804793529,9.117731523,7.795152047,15.5741707,12.80623202,14.20754423,10.34044288,5.084023948,3.510964739,9,8,8,8,7,5,6,6,6,8,8,9
50450,254,1e+06,28837,27534,49248,3080,24255,14066,52087,37722,35499,30623,40843,6379,-8,-12,-3,8,17,18,21,21,19,10,7,5,-9,-12,-4,4,13,16,18,17,16,7,5,4,2.070048763,1.126292823,2.083788642,5.484514684,12.91465151,17.0684128,21.46293112,23.71914687,21.86166643,14.26452647,9.815704019,6.329711256,9,9,9,9,7,6,6,5,5,7,8,7
55096,605,1e+06,195629,175607,171134,149535,157734,147458,149685,150619,143911,149418,155551,164899,-5,-9,2,10,17,21,22,22,21,13,8,5,-6,-9,0,7,14,18,19,18,17,9,5,4,3.368643672,2.090539631,4.986147005,12.19820566,17.28702841,20.19456317,23.09609299,23.49068159,21.63484769,15.39306369,9.400528914,7.16342266,10,10,9,10,9,8,6,7,7,9,10,11
56068,580,1e+06,3324232,2553053,2310746,2589084,3443807,2757870,3392609,3082464,1831441,1959130,3095949,2834725,-6,-10,1,8,14,18,21,21,20,12,7,3,-7,-11,-1,5,11,15,17,17,16,9,5,2,1.825542382,1.114723723,3.991052936,6.513232196,10.6691789,12.45115956,14.67128336,12.21100523,11.48798548,14.41734088,8.86799614,5.928170208,10,10,10,10,10,8,7,8,8,11,11,11
2535,384,42240,356152,468908,282219,0,129572,316791,475731,443799,390092,344359,56401,0,-8,-12,-2,8,18,19,21,21,20,10,8,5,-8,-12,-4,5,13,16,18,18,16,8,5,4,2.301334251,0.781197807,1.793554741,3.71966913,7.771550785,10.7176665,16.28830149,19.51183067,20.32607316,15.55519549,10.55271233,8.848254369,10,8,9,9,7,6,6,6,6,7,9,8
675,133,2786,5,0,5,0,0,348,0,0,90,14034,10890,2407,16,15,23,26,27,28,29,28,28,25,24,22,13,12,18,21,21,24,24,25,24,21,20,19,18.63172005,17.89180418,23.23390242,25.8911057,27.09674922,29.49134835,30.31850948,29.04881848,29.09492733,25.3249176,23.88617283,22.06622287,7,8,7,6,7,5,5,5,5,6,7,7
3452,455,22745,6985,8909,15399,26968,18234,206937,501743,643198,127993,41144,0,127993,7,8,14,19,22,28,30,30,28,21,14,11,4,5,11,16,19,23,24,22,21,16,11,9,9.710474247,10.63594171,13.85971281,20.55325,21.98847689,26.66255403,28.90901238,28.21110568,26.89429117,22.97904804,17.05583568,12.37493245,8,9,8,9,10,8,9,7,7,8,9,8
